,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,
15,
16,
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,11.162474632263184
42,13.726855278015137
43,10.711851119995117
44,11.936211585998535
45,11.644450187683105
46,12.728711128234863
47,12.134799003601074
48,12.318949699401855
49,13.142424583435059
50,14.1665678024292
51,8.588757514953613
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,12.791706085205078
71,11.88538932800293
72,11.553289413452148
73,12.418718338012695
74,12.064143180847168
75,13.99778938293457
76,13.024518013000488
77,12.458489418029785
78,13.736608505249023
79,12.648696899414062
80,12.551788330078125
81,13.242406845092773
82,12.764056205749512
83,13.359925270080566
84,5.672231674194336
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,4.765586853027344
100,11.992534637451172
101,11.548728942871094
102,12.759788513183594
103,12.62303352355957
104,12.328828811645508
105,11.380983352661133
106,11.90083122253418
107,12.881467819213867
108,13.235505104064941
109,14.479114532470703
110,11.679336547851562
111,12.394868850708008
112,13.253028869628906
113,12.636878967285156
114,12.251415252685547
115,11.42883586883545
116,13.774055480957031
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,13.790522575378418
130,11.371809005737305
131,12.549053192138672
132,13.140727996826172
133,12.972517013549805
134,12.50380802154541
135,12.927947044372559
136,13.075602531433105
137,13.02026081085205
138,11.980962753295898
139,12.1607084274292
140,13.104147911071777
141,14.586935997009277
142,12.583701133728027
143,13.475151062011719
144,11.358309745788574
145,11.933245658874512
146,12.396758079528809
147,12.900087356567383
148,13.120321273803711
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,13.009110450744629
160,12.734551429748535
161,11.990606307983398
162,13.591096878051758
163,13.640464782714844
164,13.458696365356445
165,13.184210777282715
166,14.410801887512207
167,13.259671211242676
168,12.691329002380371
169,12.887516021728516
170,12.814969062805176
171,12.994742393493652
172,12.753549575805664
173,12.945610046386719
174,14.784934043884277
175,13.628690719604492
176,13.061588287353516
177,12.87899112701416
178,13.495512008666992
179,13.607478141784668
180,13.176713943481445
181,10.81755542755127
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,7.602066516876221
190,10.532437324523926
191,13.086774826049805
192,13.350605964660645
193,13.472417831420898
194,13.316064834594727
195,14.997262954711914
196,13.589583396911621
197,13.846006393432617
198,13.814108848571777
199,13.700961112976074
200,14.578402519226074
201,13.581558227539062
202,13.636516571044922
203,12.800422668457031
204,13.940037727355957
205,13.462753295898438
206,13.198927879333496
207,13.526166915893555
208,13.259448051452637
209,12.412435531616211
210,11.99437141418457
211,12.896607398986816
212,10.816121101379395
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,13.120356559753418
221,12.554020881652832
222,13.228951454162598
223,14.128533363342285
224,14.227071762084961
225,14.657045364379883
226,14.139692306518555
227,14.199341773986816
228,14.877486228942871
229,15.198612213134766
230,12.934614181518555
231,12.97764778137207
232,13.114358901977539
233,13.293335914611816
234,12.289292335510254
235,12.967856407165527
236,13.332590103149414
237,13.644418716430664
238,13.137331008911133
239,13.276927947998047
240,14.867958068847656
241,12.998541831970215
242,13.464959144592285
243,11.897768020629883
244,12.61546802520752
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,14.014022827148438
251,13.333396911621094
252,14.42431926727295
253,13.128703117370605
254,14.614363670349121
255,15.412764549255371
256,14.587702751159668
257,13.62517261505127
258,13.798892974853516
259,13.14118480682373
260,14.422701835632324
261,14.567708969116211
262,13.985434532165527
263,14.643095970153809
264,13.62276840209961
265,13.493636131286621
266,12.431425094604492
267,12.479523658752441
268,13.104659080505371
269,13.418980598449707
270,12.982507705688477
271,12.625656127929688
272,12.752925872802734
273,11.48974609375
274,13.066498756408691
275,11.159144401550293
276,10.2317476272583
277,0.0
278,0.0
279,0.0
280,0.0
281,12.095149040222168
282,14.01990795135498
283,12.81306266784668
284,15.344088554382324
285,14.974831581115723
286,14.083904266357422
287,13.030660629272461
288,14.133648872375488
289,13.677600860595703
290,14.6851806640625
291,12.974350929260254
292,13.726140022277832
293,14.048188209533691
294,14.011600494384766
295,13.285918235778809
296,13.819807052612305
297,13.621539115905762
298,13.116424560546875
299,12.647660255432129
300,14.085625648498535
301,12.965031623840332
302,11.547059059143066
303,12.553253173828125
304,12.2544584274292
305,12.284956932067871
306,11.745965957641602
307,11.880091667175293
308,0.0
309,0.0
310,0.0
311,12.63943862915039
312,15.341503143310547
313,13.583367347717285
314,12.737895965576172
315,14.561905860900879
316,13.927374839782715
317,14.901239395141602
318,14.016542434692383
319,14.308552742004395
320,12.4404935836792
321,12.378734588623047
322,14.264911651611328
323,13.370509147644043
324,13.055027961730957
325,13.47546100616455
326,14.050872802734375
327,11.97293758392334
328,12.604737281799316
329,14.208349227905273
330,14.13141918182373
331,13.350032806396484
332,12.514070510864258
333,13.570198059082031
334,12.605499267578125
335,11.60354995727539
336,10.985786437988281
337,12.986973762512207
338,12.764015197753906
339,0.0
340,0.0
341,0.0
342,11.512728691101074
343,13.247269630432129
344,13.917142868041992
345,14.758391380310059
346,11.280549049377441
347,13.474517822265625
348,13.965141296386719
349,15.724967956542969
350,14.316603660583496
351,13.426275253295898
352,11.759716033935547
353,14.606070518493652
354,14.286419868469238
355,13.675827980041504
356,14.027325630187988
357,11.246479988098145
358,13.350842475891113
359,13.410975456237793
360,13.522774696350098
361,13.197566986083984
362,13.856244087219238
363,12.820913314819336
364,13.352509498596191
365,13.781224250793457
366,12.294238090515137
367,12.717891693115234
368,11.83658218383789
369,11.686994552612305
370,13.142877578735352
371,0.0
372,0.0
373,10.416818618774414
374,14.721206665039062
375,11.961207389831543
376,13.53451156616211
377,13.870667457580566
378,14.597369194030762
379,8.980732917785645
380,14.426563262939453
381,14.694726943969727
382,14.592245101928711
383,13.788419723510742
384,13.184488296508789
385,13.424505233764648
386,13.371844291687012
387,13.267485618591309
388,13.76029109954834
389,12.978496551513672
390,13.921183586120605
391,14.264452934265137
392,12.317436218261719
393,13.571784019470215
394,12.96970272064209
